ORIGKEY,OBJECTID,CRACK_INDX,FAULT_INDX,IRI_INDX,STRUCT_NEED80,AADT,CONYR,RESYR
00131000 00001 5989,1,76,0,66,0,1550,1963,2005
00131001 59002 1089,2,66,0,76,0,1550,1929,2005
00131002 10003 6289,3,77,0,52,0,1755,1963,2005
00131003 62004 0489,4,22,0,17,0,2320,1936,2005
00131004 04004 3489,5,67,0,48,0,2805,1936,2005
00131004 34005 2089,6,79,0,45,0,3253,1936,2005
00131005 20011 0989,7,84,0,48,0,2738,1936,2005
00131011 09012 3089,8,86,0,47,0,2360,1968,2005
00131084 00085 2452,9,75,0,80,0,10566,2005,2013
00131085 24086 5452,10,57,0,0,0,16667,1967,1967
00131086 54086 9752,11,81,0,25,0,9700,1930,2018
00131086 97087 6152,12,85,0,42,0,5933,2018,2018
00131087 61087 9652,13,82,64,37,0,9800,2005,2005
00131087 96089 4452,14,86,63,54,0,17400,2005,2005
00131089 44093 3052,15,80,0,74,0,13300,1939,2010
00131093 30096 8052,16,83,0,60,0,9200,1940,2010
00131096 80098 7352,17,66,0,38,0,8200,1940,2000
00131098 73102 0652,18,84,0,70,0,7100,1941,2014
00131012 30014 2489,19,88,0,56,0,2270,1940,2005
00131014 24017 0889,20,75,0,48,0,2392,1940,2000
00131017 08019 1951,21,53,0,57,0,2780,1927,2000
00131019 19022 4351,22,67,0,52,0,2947,1968,2000
00131022 43022 7851,23,54,0,29,0,3575,1927,1977
00131022 78023 2351,24,67,0,32,0,4518,1927,2008
00131023 23023 7951,25,100,100,69,0,5532,2023,2023
00131023 79024 5551,26,31,0,0,0,6263,1927,2005
00131024 62025 1851,27,72,0,37,0,5480,1934,2005
00131025 18025 4951,28,68,0,26,0,2597,1948,2005
00131025 49025 8951,29,65,0,49,0,4190,1928,2005
00131025 89028 3751,30,98,0,95,0,2993,1928,2017
00131028 37035 5951,31,98,0,95,0,1925,1969,2017
00131035 59036 6954,32,95,0,93,0,1240,1969,2017
00131036 69037 5554,33,85,0,70,0,1395,1942,1994
00131037 55043 6492,34,100,100,65,1.66,2120,2022,2022
00131043 64044 1892,35,100,0,69,0,2540,1928,2014
00131044 18044 6292,36,100,0,42,0,2385,1928,1993
00131044 62050 8092,37,60,0,33,0,2380,1952,1993
00131050 80054 8292,38,58,0,34,0,4433,1952,1993
00131054 82057 9092,39,81,0,72,0,4393,1956,2012
00131057 90067 6692,40,73,0,88,0,4190,1956,2014
00131067 66068 0492,41,71,0,64,1.58,5100,1956,2014
00131068 04068 3592,42,57,74,44,0,6133,2017,2017
00131068 35069 9292,43,97,0,92,0,6200,1951,2014
00131069 92071 2052,44,96,0,91,0,6200,1951,2014
00131071 20082 6952,45,95,0,93,0,6111,1951,2014
00131082 69084 0052,46,86,0,82,0,6714,1982,2013
00231170 21170 7404,47,17,0,0,0,4000,1971,1971
00231170 74171 5904,48,58,0,0,0,4814,1954,1954
00231171 59172 1804,49,74,0,53,0,3610,1935,2008
00231172 18173 3004,50,47,0,70,0,2890,1927,2008
00231173 30175 2204,51,41,0,75,0,2890,1930,2008
00231175 22177 0904,52,36,0,74,0,2740,1930,2008
00231177 09180 3504,53,37,0,64,0,2590,1930,2008
00231180 35182 1604,54,31,0,65,0,2173,1930,2008
00231182 16184 2604,55,43,0,64,0,1800,1930,2008
00131102 06103 7557,56,88,0,68,0,7100,1947,2014
00131103 75104 8257,57,93,78,48,0,6400,2008,2008
00131104 82107 3957,58,81,0,67,0,7933,1947,2014
00131107 39107 7957,59,65,0,30,0,8300,1952,2014
00131107 79108 0757,60,92,5,0,0,7400,1985,1985
00131108 07108 6657,61,72,0,51,0,5355,1963,2014
00131108 66115 0957,62,78,0,81,0,4586,1952,2014
00131115 09115 4653,63,77,0,79,0,4320,1937,2014
00131115 46115 8553,64,77,69,41,0,3930,1992,1992
00131115 85119 3553,65,61,0,77,0,4203,1937,2014
00132082 69084 0052,66,79,0,75,0,8420,1982,2013
00132084 00085 1652,67,78,0,83,0,10566,2005,2013
00132086 69087 8852,68,57,0,0,4.98,7267,1933,2010
00132089 21090 0552,69,80,57,47,0,7391,2005,2005
00132107 31107 4357,70,100,22,0,0,4425,2013,2013
00231000 00000 8036,71,94,73,74,0,4250,2019,2019
00231000 80002 3036,72,99,74,74,0,4200,2020,2020
00231002 30002 8836,73,86,0,53,0,4100,1953,2007
00231002 88003 4236,74,85,0,47,0,3500,1953,2014
00231003 42003 9336,75,70,0,41,0,3040,1931,1992
00231003 93007 8236,76,68,0,63,0,1660,1931,1992
00231007 82009 1036,77,96,0,77,0,1615,1931,2019
00231009 10009 5736,78,94,0,77,0,1570,1994,2019
00231009 57010 7636,79,93,0,70,0,1570,1931,2019
00231016 03016 9836,80,67,0,38,0,2090,1930,1984
00231016 98018 2836,81,78,0,56,0,2090,1954,2009
00231018 28028 6136,82,68,33,46,0,2033,1975,1975
00231028 61033 2773,83,88,0,79,0,2655,1971,2013
00231033 27040 7373,84,90,0,86,0,2830,1992,2013
00231040 73048 1573,85,88,0,86,0,3353,1992,2013
00231048 15050 0873,86,61,0,63,0,3167,1973,2009
00231051 83053 6473,87,75,0,66,0,2730,1975,1998
00231053 64056 8473,88,80,0,77,0,2730,1978,2010
00231056 84059 8487,89,83,0,79,3.36,2078,1978,2010
00231059 84068 7087,90,91,0,76,2.27,1380,1978,2012
00231068 70069 0987,91,91,0,75,0,1913,1978,2006
00231069 09070 0087,92,66,0,72,1.98,1450,1978,2006
00231070 00073 4687,93,77,0,60,0,1285,1976,1999
00231073 46074 7587,94,67,0,63,0,1420,1976,1999
00231074 75077 4687,95,61,0,75,0,1305,1976,1999
00231077 46078 6687,96,59,0,71,0,1005,1976,1999
00231078 66083 3787,97,61,0,73,0,820,1976,1999
00231083 37085 0480,98,59,0,64,0,820,1976,1999
00231085 04085 8680,99,64,0,63,0,820,1976,2011
00231085 86091 3580,100,71,0,75,0,976,1940,2011
00231091 35094 3180,101,66,0,79,0,1383,1939,2011
00231094 31096 3180,102,70,0,79,0,1780,1939,2011
00231098 60105 4280,103,53,0,79,0,1986,1942,1986
00231105 42108 1780,104,48,0,87,0,1153,1939,1986
00231108 17110 0180,105,71,0,82,0,937,1939,2011
00231110 01113 6927,106,77,0,79,0,1165,1946,2011
00231113 69119 1427,107,70,0,78,0,1675,1942,2011
00231119 14123 4927,108,93,0,94,0,2061,1941,2019
00231124 16134 4627,109,78,0,89,0,2200,1938,2018
00231134 46135 2393,110,93,0,95,0,863,1963,2017
00231135 23137 4693,111,92,0,96,0,925,1930,2017
00231137 46144 5893,112,94,0,96,0,1476,1972,2017
00231144 58147 0893,113,84,0,78,0,2650,1971,2017
00231147 08147 9593,114,64,0,0,0,3218,1970,1970
