OBJECTID,ORIGKEY,PMISYR,ROUTE_ID,FROM_MEASURE,TO_MEASURE,SYSTEM,ROUTE,DIR,BPOST,EPOST,PAVTYP,DESCRIPT,CONYR,RESYR,PMIS_LENGTH,LANE_MILES,MDIST,COUNTY,CITY,CITY 2,PCI_2,PCI_2DEF,RUT_INDX,IRI_INDX,FAULT_INDX,CRACK_INDX,IRI,FRICT,FRIDATE,FAULT,FAULTAV,RUT,CRACK_RATIO,T_INDX,L_INDX,LW_INDX,LLW_INDX,A_INDX,ACRACKH,ACRACKM,ACRACKL,TCRACKH,TCRACKM,TCRACKL,LCRACKH,LCRACKM,LCRACKL,LCRACKWH,LCRACKWM,LCRACKWL,DCRACKH,DCRACKM,DCRACKL,JTSPALLH,JTSPALLM,JTSPALL_LONG,JTSPALL_TRANS,PATCHAB,PATCHAG,PATCHES,COVERAGE,CAPDAT,STRUC80,STRUCT_NEED80,STRUCAV,STRUCJTR,AVEK,FWD_DATE,TRYR,AADT,TRUCKS,NHS,SYS_NHS,URBAN,PCLASS,FCLASS,MEDIAN,MEDIAN_PCT,LANES,SPEED,SURFACE_TYPE,PAVTHICK,TACCDPTH,TPCCDPTH,BASEDPTH,MLEVEL,WIDTH,WDRIVELN,RCURB,LCURB,ISHLDTIE,ISHLDTYP,ISHLDWID,OSHLDTIE,OSHLDTYP,OSHLDWID,COMPLEX,SUBDRAIN,SUBDPCT,SUBDMULT,TREATMENT,LAYR1,LAYR2,LAYR3,LAYR4,LAYR5,LAYR6,LAYR7,LAYR8,PROJECT1,PROJECT2,PROJECT3,PROJECT4,PROJECT5,PROJECT6,PROJECT7,PROJECT8,PROJTYP1,PROJTYP2,PROJTYP3,PROJTYP4,PROJTYP5,PROJTYP6,PROJTYP7,PROJTYP8,SURTYP1,SURTYP2,SURTYP3,SURTYP4,SURTYP5,SURTYP6,SURTYP7,SURTYP8,SURTHK1,SURTHK2,SURTHK3,SURTHK4,SURTHK5,SURTHK6,SURTHK7,SURTHK8,BASTYP1,BASTYP2,BASTYP3,BASTYP4,BASTYP5,BASTYP6,BASTYP7,BASTYP8,AGGCLAS1,AGGCLAS2,AGGCLAS3,AGGCLAS4,AGGCLAS5,AGGCLAS6,AGGCLAS7,AGGCLAS8,BASTHK1,BASTHK2,BASTHK3,BASTHK4,BASTHK5,BASTHK6,BASTHK7,BASTHK8,SUBTHK1,SUBTHK2,SUBTHK3,SUBTHK4,SUBTHK5,SUBTHK6,SUBTHK7,SUBTHK8,RMVTHK1,RMVTHK2,RMVTHK3,RMVTHK4,RMVTHK5,RMVTHK6,RMVTHK7,RMVTHK8,AGGSRC1,AGGSRC2,AGGSRC3,AGGSRC4,AGGSRC5,AGGSRC6,AGGSRC7,AGGSRC8,REMARKS1,REMARKS2,REMARKS3,REMARKS4,REMARKS5,REMARKS6,REMARKS7,REMARKS8,RMVTYP1,RMVTYP2,RMVTYP3,RMVTYP4,RMVTYP5,RMVTYP6,RMVTYP7,RMVTYP8,AGGTYP1,AGGTYP2,AGGTYP3,AGGTYP4,AGGTYP5,AGGTYP6,AGGTYP7,AGGTYP8,SUBTYP1,SUBTYP2,SUBTYP3,SUBTYP4,SUBTYP5,SUBTYP6,SUBTYP7,SUBTYP8,REST_UPDATED,REST_UTC_OFFSET,GLOBALID,PATCH_PCT,CONRTE,FAILURE_AREA,FAILURE_AREA_MI,FAILURE_CNT,FAILURE_CNT_MI,PATHWEB,STRUC_C_PCT,UNSEALCRK,Shape__Length
1,00131000 00001 5989,2023,S001930001N,0.07936,1.59057,3,1,1,000 00,001 59,3,From JCT IA 1/IA 2 North 1.6 Miles,1963,2005,1.51,3.02,5,89,0,0,73,,80,66,,76,106.28,54,2020/08/25 00:00:00+00,0.1,0.011,0.09,23.79,41,45,55,,100,0,0,65,0,204,169,0,726,363,0,597,297,0,0,0,1,2,0,1,0,0,0,100,2023/07/20 00:00:00+00,5.42,0,6.78,,204,2023/04/18 00:00:00+00,2023,1550,134,N,Non-NHS,,3,4,N,0,2,55,65,12.5,4,9,0,C,24,,N,Y,N,PG,10,N,PG,10,N,F-1-1(15)20-89,100,,AC,2005,2005,1963,,,,,,STPN-1-1(25)--2J-89,STPN-1-1(25)--2J-89,F-165(4),,,,,,,W,,,,,,,AAC,AAC,PCC,,,,,,1.5,1.5,9,,,,,,AAC,AAC,,,,,,,,,I,,,,,,2,2,0,,,,,,0,3,0,,,,,,0,0,0,,,,,,SELMA-GARDNER,SELMA-GARDNER,FARMINGTON-COM.,,,,,,,,VAR. LOC.,,,,,,,,,,,,,,C.LST.,C.LST.,C.LST.,,,,,,,BAC,,,,,,,2024/04/18 18:55:47.120+00,-05:00,6c1a08b8-4a0d-4e4d-8480-4676e0f2eaac,0,,17,11.2,2,1.3,http://rams.iowadot.gov/pathweb/?cycle='Current'&nlfid=S001930001N&logpoint=0.08,5,100,3215.601544
2,00131001 59002 1089,2023,S001930001N,1.59057,2.10099,3,1,1,001 59,002 10,3,From 1.6 Miles N Of JCT IA 1/IA 2 North 0.5 Miles,1929,2005,0.51,1.02,5,89,0,0,72,,76,76,,66,85.2,57,2020/08/25 00:00:00+00,,0,0.11,33.92,24,36,29,,100,0,0,1109,0,185,336,0,809,486,0,789,690,0,0,0,0,0,0,0,0,0,0,100,2023/07/20 00:00:00+00,4.46,0,5.76,,131,2023/04/18 00:00:00+00,2023,1550,134,N,Non-NHS,,3,4,N,0,2,55,65,13.5,7,7,0,C,24,,N,N,N,PG,10,N,PG,10,N,F-1-1(15)20-89,100,,AC,2005,2005,1964,1929,,,,,STPN-1-1(25)--2J-89,STPN-1-1(25)--2J-89,FN-165,FA-65ABCDEF,,,,,,W,,,,,,,AAC,AAC,AAC,PC7,,,,,1.5,1.5,1.5,7,,,,,AAC,AAC,AAC,,,,,,,,,I,,,,,2,2,1.5,0,,,,,0,3,0,0,,,,,0,0,0,0,,,,,SELMA-GARDNER,SELMA-GARDNER,FARMINGTON-COM.,LINWOOD,,,,,,,VL  AC 74,,,,,,,,,,,,,,C.LST.,C.LST.,C.LST.,C.LST.,,,,,,BAC,,,,,,,2024/04/18 18:55:47.120+00,-05:00,18a21eb3-8e58-4b86-8b1e-589aeefbbd72,0,,0,0,0,0,http://rams.iowadot.gov/pathweb/?cycle='Current'&nlfid=S001930001N&logpoint=1.59597,12,100,1086.328625
3,00131002 10003 6289,2023,S001930001N,2.10099,3.74539,3,1,1,002 10,003 62,3,From 2.1 Miles N Of JCT IA 1/IA 2 North To SCL Keosauqua,1963,2005,1.64,3.29,5,89,3950,3950,67,,76,52,,77,138.16,61,2022/06/29 00:00:00+00,,0,0.12,22.78,35,60,49,,99,0,40,1097,0,177,261,5,564,210,0,558,507,0,0,0,0,0,0,0,347,65,4,100,2023/07/20 00:00:00+00,3.8,0,4.89,,177,2022/05/17 00:00:00+00,2023,1755,152,N,Non-NHS,,3,4,N,0,2,55,65,12.5,4,9,0,C,24,,Y,N,N,PG,10,N,PG,10,N,F-1-1(15)20-89,100,,AC,2005,2005,1963,,,,,,STPN-1-1(25)--2J-89,STPN-1-1(25)--2J-89,F-165(4),,,,,,S,W,,,,,,,AAC,AAC,PCC,,,,,,1.5,1.5,9,,,,,,AAC,AAC,,,,,,,,,I,,,,,,2,2,0,,,,,,0,3,0,,,,,,0,0,0,,,,,,SELMA-GARDNER,SELMA-GARDNER,FARMINGTON-COM.,,,,,,,,VAR. LOC.,,,,,,,,,,,,,,C.LST.,C.LST.,C.LST.,,,,,,,BAC,,,,,,,2024/04/18 18:55:47.120+00,-05:00,25b698c2-3274-4f05-94e5-cd85318e6898,0,,491,299,21,12.8,http://rams.iowadot.gov/pathweb/?cycle='Current'&nlfid=S001930001N&logpoint=2.10461,9,100,3498.574643
4,00131003 62004 0489,2023,S001930001N,3.74539,4.06954,3,1,1,003 62,004 04,3,Des Moines River Bridge and approaches,1936,2005,0.32,0.65,5,89,3950,3950,30,,70,17,,22,214.78,,,0.1,0.0385,0.14,77.71,53,94,95,,98,0,92,379,78,124,33,0,0,157,0,0,128,0,0,0,0,5,0,31,5486,0,10,59,2023/07/20 00:00:00+00,3.74,0,6.03,,164,2022/05/17 00:00:00+00,2023,2320,171,N,Non-NHS,,3,4,N,0,2,35,65,10.5,4,7,0,C,23,,Y,Y,N,G,0,N,G,0,N,,,,AC,2005,2005,1936,,,,,,STPN-1-1(25)--2J-89,STPN-1-1(25)--2J-89,DEFAULT-911,,,,,,S,W,O,,,,,,AAC,AAC,PCC,,,,,,1.5,1.5,7,,,,,,AAC,AAC,,,,,,,,,,,,,,,2,2,0,,,,,,0,3,0,,,,,,0,0,0,,,,,,SELMA-GARDNER,SELMA-GARDNER,,,,,,,,,,,,,,,,,,,,,,,C.LST.,C.LST.,,,,,,,,BAC,,,,,,,2024/04/18 18:55:47.120+00,-05:00,f683dd3d-afd7-4ba9-ad59-e759a1165fce,3,,117,359.3,5,15.4,http://rams.iowadot.gov/pathweb/?cycle='Current'&nlfid=S001930001N&logpoint=3.74534,47,100,688.5269349
5,00131004 04004 3489,2023,S001930001N,4.06954,4.36996,3,1,1,004 04,004 34,3,From Int Main & 1st North To Int Dodge St. & Broad St.,1936,2005,0.3,0.6,5,89,3950,3950,59,,67,48,,67,146.98,,,,0,0.15,32.92,8,77,71,,99,0,38,2170,0,211,426,0,62,519,0,258,391,0,0,0,0,0,0,0,0,0,0,100,2023/07/20 00:00:00+00,3.64,0,6.35,,153,2019/06/18 00:00:00+00,2023,2805,204,N,Non-NHS,,3,4,N,0,2,25,65,10.5,4,7,0,C,20,,N,N,N,PG,9,N,PG,9,Y,,,,AC,2005,2005,1936,,,,,,STPN-1-1(25)--2J-89,STPN-1-1(25)--2J-89,DEFAULT-911,,,,,,,W,O,,,,,,AAC,AAC,PCC,,,,,,1.5,1.5,7,,,,,,AAC,AAC,,,,,,,,,,,,,,,2,2,0,,,,,,0,3,0,,,,,,0,0,0,,,,,,SELMA-GARDNER,SELMA-GARDNER,,,,,,,,,,,,,,,,,,,,,,,C.LST.,C.LST.,,,,,,,,BAC,,,,,,,2024/04/18 18:55:47.120+00,-05:00,e993fe93-de9f-4acc-9ddb-1331b42fecfb,0,,78,262.3,9,30.3,http://rams.iowadot.gov/pathweb/?cycle='Current'&nlfid=S001930001N&logpoint=4.07086,6,100,638.4270847
6,00131004 34005 2089,2023,S001930001N,4.36996,5.21345,3,1,1,004 34,005 20,3,From Int Dodge St. & Broad St. North To NCL Keosauqua,1936,2005,0.84,1.69,5,89,3950,3950,62,,65,45,,79,154.56,,,,0,0.17,21.01,23,88,67,,100,0,0,0,0,307,158,0,96,163,0,400,261,0,0,0,0,0,0,0,0,0,0,100,2023/07/20 00:00:00+00,3.92,0,5.83,,141,2023/04/18 00:00:00+00,2023,3253,237,N,Non-NHS,,3,4,N,0,2,45,65,16.5,10,7,0,C,20,,N,N,N,PG,5,N,PG,5,N,,,,AC,2005,2005,1985,1964,1936,,,,STPN-1-1(25)--2J-89,STPN-1-1(25)--2J-89,FN-1-1(11)--21-89,DEFAULT-1166,DEFAULT-911,,,,,W,,,O,,,,AAC,AAC,AAC,BAC,PCC,,,,1.5,1.5,1.5,3,7,,,,AAC,AAC,AAC,,,,,,,,,,,,,,2,2,1.5,0,0,,,,0,3,0,0,0,,,,0,0,0,0,0,,,,SELMA-GARDNER,SELMA-GARDNER,HAWKEYE,,,,,,,,,,,,,,,,,,,,,,C.LST.,C.LST.,C.LST.,,,,,,,BAC,,,,,,,2024/04/18 18:55:47.120+00,-05:00,da423815-f8e7-47e1-a413-d8d3082b5d99,0,,36,42.5,3,3.5,http://rams.iowadot.gov/pathweb/?cycle='Current'&nlfid=S001930001N&logpoint=4.36753,4,100,1794.946893
7,00131005 20011 0989,2023,S001930001N,5.21345,11.11103,3,1,1,005 20,011 09,3,From NCL Keosauqua N To 0.75 Miles N Of S JCT IA 1/IA 16,1936,2005,5.9,11.92,5,89,,0,67,,71,48,,84,146.45,58,2022/06/29 00:00:00+00,,0,0.14,16.01,43,92,84,,98,0,78,252,0,182,189,6,80,72,0,214,110,0,0,0,0,0,0,0,182,41,3,100,2023/07/20 00:00:00+00,2.8,0,5.36,,110,2023/04/18 00:00:00+00,2023,2738,233,N,Non-NHS,,3,4,N,0,2,55,65,15.5,9,7,0,C,24,,N,N,N,PG,10,N,PG,10,N,F-1-1(16)20-89,100,,AC,2005,2005,1977,1968,1936,,,,STPN-1-1(25)--2J-89,STPN-1-1(25)--2J-89,FN-1-1(7)--21-89,F-1-1(1)--20-89,FA-60A(1) & A(3),,,,,W,,,,,,,AAC,AAC,AAC,AAC,PC7,,,,1.5,1.5,1.5,1,7,,,,AAC,AAC,,AAC,,,,,,,,,2,,,,2,2,0,2.5,0,,,,0,3,0,0,0,,,,0,0,0,0,0,,,,SELMA-GARDNER,SELMA-GARDNER,DOUDS MINE,DOUDS MINE,DOUDS MINE,,,,,,,,,,,,,,,,,,,,C.LST.,C.LST.,C.LST.,C.LST.,C.LST.,,,,,BAC,,,,,,,2024/04/18 18:55:47.120+00,-05:00,de073091-6561-494a-9e64-5630b5922636,0,,1441,244.2,73,12.4,http://rams.iowadot.gov/pathweb/?cycle='Current'&nlfid=S001930001N&logpoint=5.21497,2,100,12555.72169
8,00131011 09012 3089,2023,S001930001N,11.11103,12.30747,3,1,1,011 09,012 30,3,0.75 Mi N Of S JCT IA 16 N To 0.27 Mi S Of N JCT IA 16,1968,2005,1.2,2.39,5,89,,0,68,,75,47,,86,149.96,58,2023/07/18 00:00:00+00,0.1,0.0055,0.12,13.51,61,95,98,,100,0,0,0,0,133,114,0,72,18,0,28,12,0,0,0,0,0,0,5,89,132,4,95,2023/07/20 00:00:00+00,5.51,0,8.73,,199,2017/03/21 00:00:00+00,2023,2360,258,N,Non-NHS,,3,4,N,0,2,55,65,15.5,7,9,0,C,24,,N,N,N,G,10,N,G,10,Y,F-1-1(16)20-89,100,,AC,2005,2005,1987,1968,,,,,STPN-1-1(25)--2J-89,STPN-1-1(25)--2J-89,FN-1-1(14)--21-89,F-1-1(2)--20-89,,,,,,W,,,,,,,AAC,AAC,AAC,PCC,,,,,1.5,1.5,3,9,,,,,AAC,AAC,,,,,,,,,,2,,,,,2,2,0,0,,,,,0,3,0,0,,,,,0,0,0,0,,,,,SELMA-GARDNER,SELMA-GARDNER,DOUDS MINE,DOUDS MINE,,,,,,,,,,,,,,,,,,,,,C.LST.,C.LST.,C.LST.,C.LST.,,,,,,BAC,,,,,,,2024/04/18 18:55:47.120+00,-05:00,18925ca7-b18c-4022-a134-3628eff5314c,0,16,171,144,15,12.6,http://rams.iowadot.gov/pathweb/?cycle='Current'&nlfid=S001930001N&logpoint=11.11796,0,100,2549.026088
9,00131084 00085 2452,2023,S001930001N,83.95644,85.11203,3,1,1,084 00,085 24,3,From Sunset Street to 0.1 Mi N of JCT IA 1/US 6,2005,2013,1.16,2.76,6,52,3715,3715,76,,71,80,,75,76.94,35,2023/08/09 00:00:00+00,,0,0.14,24.67,31,46,63,,100,0,0,122,0,47,483,0,67,1334,0,0,974,0,0,0,0,0,0,0,88,0,3,100,2023/06/09 00:00:00+00,5.54,0,7.04,,175,2021/04/05 00:00:00+00,2023,10566,828,Y,NHS,327,2,3,Y,56,2,45,65,13,3,10,6,B,29,,Y,Y,N,PG,0,N,PG,0,,,,,AC,2013,2005,,,,,,,STP-001-5(101)--2C-52,STP-1-5(69)--2C-52,,,,,,,,,,,,,,,HMA,PCC,,,,,,,1.5,10,,,,,,,HMA,MSB,,,,,,,4,,,,,,,,1.5,6,,,,,,,0,0,,,,,,,0,0,,,,,,,KLEIN_A52006,,,,,,,,,,,,,,,,,,,,,,,,C.LST.,,,,,,,,,,,,,,,,2024/04/18 18:55:47.120+00,-05:00,61abdf43-dc99-4585-914f-f7d679912cc5,0,,8,6.9,2,1.7,http://rams.iowadot.gov/pathweb/?cycle='Current'&nlfid=S001930001N&logpoint=83.95308,6,99,2488.297797
10,00131085 24086 5452,2023,S001930001N,85.85862,86.58936,3,1,1,085 24,086 54,1,0.1 Mi N of JCT IA 1/US 6 North to 0.1 Mi N of Gilbert St.,1967,,0.73,3.35,6,52,3715,3715,23,,,0,0,57,325.87,,,0.3,0.1395,0.2,42.54,56,,,82,,0,0,0,5,19,66,6,11,19,44,13,79,0,0,0,8,34,0,9,5196,896,83,88,2023/06/23 00:00:00+00,5.37,0,7.26,,118,2021/04/06 00:00:00+00,2023,16667,532,Y,NHS,327,2,3,N,12,5,25,74,10,0,10,0,B,54,,Y,Y,N,N,0,N,N,0,Y,,,,AC,1967,,,,,,,,U-1-4-(2)--40-52,,,,,,,,,,,,,,,,PCC,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024/04/18 18:55:47.120+00,-05:00,ea7511f0-2871-424d-a0d6-237010e33b7f,2,,198,271.1,67,91.7,http://rams.iowadot.gov/pathweb/?cycle='Current'&nlfid=S001930001N&logpoint=85.854,6,96,1572.384335
