CRACK_INDX,FAULT_INDX,IRI_INDX,STRUCT_NEED80,AADT,CONYR,RESYR
76,0,66,0,1550,1963,2005
66,0,76,0,1550,1929,2005
77,0,52,0,1755,1963,2005
22,0,17,0,2320,1936,2005
67,0,48,0,2805,1936,2005
79,0,45,0,3253,1936,2005
84,0,48,0,2738,1936,2005
86,0,47,0,2360,1968,2005
75,0,80,0,10566,2005,2013
57,0,0,0,16667,1967,1967
81,0,25,0,9700,1930,2018
85,0,42,0,5933,2018,2018
82,64,37,0,9800,2005,2005
86,63,54,0,17400,2005,2005
80,0,74,0,13300,1939,2010
83,0,60,0,9200,1940,2010
66,0,38,0,8200,1940,2000
84,0,70,0,7100,1941,2014
88,0,56,0,2270,1940,2005
75,0,48,0,2392,1940,2000
53,0,57,0,2780,1927,2000
67,0,52,0,2947,1968,2000
54,0,29,0,3575,1927,1977
67,0,32,0,4518,1927,2008
100,100,69,0,5532,2023,2023
31,0,0,0,6263,1927,2005
72,0,37,0,5480,1934,2005
68,0,26,0,2597,1948,2005
65,0,49,0,4190,1928,2005
98,0,95,0,2993,1928,2017
98,0,95,0,1925,1969,2017
95,0,93,0,1240,1969,2017
85,0,70,0,1395,1942,1994
100,100,65,1.66,2120,2022,2022
100,0,69,0,2540,1928,2014
100,0,42,0,2385,1928,1993
60,0,33,0,2380,1952,1993
58,0,34,0,4433,1952,1993
81,0,72,0,4393,1956,2012
73,0,88,0,4190,1956,2014
71,0,64,1.58,5100,1956,2014
57,74,44,0,6133,2017,2017
97,0,92,0,6200,1951,2014
96,0,91,0,6200,1951,2014
95,0,93,0,6111,1951,2014
86,0,82,0,6714,1982,2013
17,0,0,0,4000,1971,1971
58,0,0,0,4814,1954,1954
74,0,53,0,3610,1935,2008
47,0,70,0,2890,1927,2008
41,0,75,0,2890,1930,2008
36,0,74,0,2740,1930,2008
37,0,64,0,2590,1930,2008
31,0,65,0,2173,1930,2008
43,0,64,0,1800,1930,2008
88,0,68,0,7100,1947,2014
93,78,48,0,6400,2008,2008
81,0,67,0,7933,1947,2014
65,0,30,0,8300,1952,2014
92,5,0,0,7400,1985,1985
72,0,51,0,5355,1963,2014
78,0,81,0,4586,1952,2014
77,0,79,0,4320,1937,2014
77,69,41,0,3930,1992,1992
61,0,77,0,4203,1937,2014
79,0,75,0,8420,1982,2013
78,0,83,0,10566,2005,2013
57,0,0,4.98,7267,1933,2010
80,57,47,0,7391,2005,2005
100,22,0,0,4425,2013,2013
94,73,74,0,4250,2019,2019
99,74,74,0,4200,2020,2020
86,0,53,0,4100,1953,2007
85,0,47,0,3500,1953,2014
70,0,41,0,3040,1931,1992
68,0,63,0,1660,1931,1992
96,0,77,0,1615,1931,2019
94,0,77,0,1570,1994,2019
93,0,70,0,1570,1931,2019
67,0,38,0,2090,1930,1984
78,0,56,0,2090,1954,2009
68,33,46,0,2033,1975,1975
88,0,79,0,2655,1971,2013
90,0,86,0,2830,1992,2013
88,0,86,0,3353,1992,2013
61,0,63,0,3167,1973,2009
75,0,66,0,2730,1975,1998
80,0,77,0,2730,1978,2010
83,0,79,3.36,2078,1978,2010
91,0,76,2.27,1380,1978,2012
91,0,75,0,1913,1978,2006
66,0,72,1.98,1450,1978,2006
77,0,60,0,1285,1976,1999
67,0,63,0,1420,1976,1999
