CONYR,RESYR,PCI_2,CRACK_INDX,IRI,AADT,TRUCKS,years_since_repair
1963.0,2005.0,73.0,76.0,106.28,1550.0,134.0,20.0
1929.0,2005.0,72.0,66.0,85.2,1550.0,134.0,20.0
1963.0,2005.0,67.0,77.0,138.16,1755.0,152.0,20.0
1936.0,2005.0,30.0,22.0,214.78,2320.0,171.0,20.0
1936.0,2005.0,59.0,67.0,146.98,2805.0,204.0,20.0
1936.0,2005.0,62.0,79.0,154.56,3253.0,237.0,20.0
1936.0,2005.0,67.0,84.0,146.45,2738.0,233.0,20.0
1968.0,2005.0,68.0,86.0,149.96,2360.0,258.0,20.0
2005.0,2013.0,76.0,75.0,76.94,10566.0,828.0,12.0
1967.0,0.0,23.0,57.0,325.87,16667.0,532.0,58.0
1930.0,2018.0,57.0,81.0,197.59,9700.0,259.0,7.0
2018.0,0.0,67.0,85.0,160.04,5933.0,173.0,7.0
2005.0,0.0,60.0,82.0,171.77,9800.0,331.0,20.0
2005.0,0.0,68.0,86.0,134.26,17400.0,470.0,20.0
1939.0,2010.0,74.0,80.0,89.72,13300.0,697.0,15.0
1940.0,2010.0,72.0,83.0,120.55,9200.0,832.0,15.0
1940.0,2000.0,54.0,66.0,168.82,8200.0,833.0,25.0
1941.0,2014.0,75.0,84.0,97.25,7100.0,714.0,11.0
1940.0,2005.0,72.0,88.0,128.79,2270.0,280.0,20.0
1940.0,2000.0,64.0,75.0,148.02,2392.0,325.0,25.0
1927.0,2000.0,55.0,53.0,127.92,2780.0,325.0,25.0
1968.0,2000.0,62.0,67.0,137.6,2947.0,325.0,25.0
1927.0,1977.0,45.0,54.0,189.73,3575.0,325.0,48.0
1927.0,2008.0,51.0,67.0,181.3,4518.0,288.0,17.0
2023.0,0.0,87.0,100.0,101.14,5532.0,193.0,2.0
1927.0,2005.0,21.0,31.0,261.58,6263.0,243.0,20.0
1934.0,2005.0,57.0,72.0,171.65,5480.0,229.0,20.0
1948.0,2005.0,53.0,68.0,196.24,2597.0,139.0,20.0
1928.0,2005.0,58.0,65.0,143.8,4190.0,188.0,20.0
1928.0,2017.0,92.0,98.0,41.97,2993.0,187.0,8.0
1969.0,2017.0,92.0,98.0,43.55,1925.0,187.0,8.0
1969.0,2017.0,90.0,95.0,47.64,1240.0,187.0,8.0
1942.0,1994.0,75.0,85.0,97.9,1395.0,258.0,31.0
2022.0,0.0,86.0,100.0,108.82,2120.0,329.0,3.0
1928.0,2014.0,82.0,100.0,99.43,2540.0,284.0,11.0
1928.0,1993.0,63.0,100.0,159.16,2385.0,238.0,32.0
1952.0,1993.0,45.0,60.0,179.34,2380.0,237.0,32.0
1952.0,1993.0,46.0,58.0,177.28,4433.0,330.0,32.0
1956.0,2012.0,77.0,81.0,93.06,4393.0,390.0,13.0
1956.0,2014.0,80.0,73.0,59.23,4190.0,412.0,11.0
1956.0,2014.0,68.0,71.0,110.52,5100.0,413.0,11.0
2017.0,0.0,55.0,57.0,155.87,6133.0,578.0,8.0
1951.0,2014.0,92.0,97.0,49.2,6200.0,659.0,11.0
1951.0,2014.0,91.0,96.0,52.26,6200.0,658.0,11.0
1951.0,2014.0,90.0,95.0,48.33,6111.0,658.0,11.0
1982.0,2013.0,82.0,86.0,72.21,6714.0,778.0,12.0
1971.0,0.0,7.0,17.0,314.97,4000.0,331.0,54.0
1954.0,0.0,23.0,58.0,269.97,4814.0,319.0,71.0
1935.0,2008.0,64.0,74.0,135.4,3610.0,272.0,17.0
1927.0,2008.0,61.0,47.0,97.54,2890.0,272.0,17.0
1930.0,2008.0,59.0,41.0,87.48,2890.0,272.0,17.0
1930.0,2008.0,57.0,36.0,88.63,2740.0,272.0,17.0
1930.0,2008.0,54.0,37.0,112.17,2590.0,271.0,17.0
1930.0,2008.0,52.0,31.0,110.1,2173.0,310.0,17.0
1930.0,2008.0,57.0,43.0,111.16,1800.0,348.0,17.0
1947.0,2014.0,76.0,88.0,102.67,7100.0,477.0,11.0
2008.0,0.0,72.0,93.0,145.86,6400.0,480.0,17.0
1947.0,2014.0,73.0,81.0,105.3,7933.0,492.0,11.0
1952.0,2014.0,51.0,65.0,186.98,8300.0,511.0,11.0
1985.0,0.0,38.0,92.0,253.78,7400.0,455.0,40.0
1963.0,2014.0,59.0,72.0,139.67,5355.0,362.0,11.0
1952.0,2014.0,78.0,78.0,74.31,4586.0,361.0,11.0
1937.0,2014.0,78.0,77.0,78.05,4320.0,362.0,11.0
1992.0,0.0,61.0,77.0,162.02,3930.0,362.0,33.0
1937.0,2014.0,70.0,61.0,82.59,4203.0,348.0,11.0
1982.0,2013.0,76.0,79.0,86.52,8420.0,794.0,12.0
2005.0,2013.0,78.0,78.0,69.29,10566.0,828.0,12.0
1933.0,2010.0,38.0,57.0,263.38,7267.0,168.0,15.0
2005.0,0.0,62.0,80.0,149.95,7391.0,618.0,20.0
2013.0,0.0,44.0,100.0,327.52,4425.0,507.0,12.0
2019.0,0.0,82.0,94.0,90.22,4250.0,1929.0,6.0
2020.0,0.0,84.0,99.0,90.24,4200.0,1929.0,5.0
1953.0,2007.0,65.0,86.0,135.06,4100.0,1929.0,18.0
1953.0,2014.0,65.0,85.0,149.66,3500.0,1547.0,11.0
1931.0,1992.0,60.0,70.0,162.09,3040.0,535.0,33.0
1931.0,1992.0,65.0,68.0,113.7,1660.0,220.0,33.0
1931.0,2019.0,85.0,96.0,83.24,1615.0,220.0,6.0
1994.0,2019.0,85.0,94.0,82.78,1570.0,220.0,6.0
1931.0,2019.0,81.0,93.0,97.25,1570.0,220.0,6.0
1930.0,1984.0,55.0,67.0,168.34,2090.0,228.0,41.0
1954.0,2009.0,69.0,78.0,129.68,2090.0,228.0,16.0
1975.0,0.0,52.0,68.0,151.62,2033.0,244.0,50.0
1971.0,2013.0,82.0,88.0,77.82,2655.0,293.0,12.0
1992.0,2013.0,87.0,90.0,63.23,2830.0,293.0,12.0
1992.0,2013.0,86.0,88.0,63.98,3353.0,293.0,12.0
1973.0,2009.0,62.0,61.0,114.6,3167.0,292.0,16.0
1975.0,1998.0,70.0,75.0,107.04,2730.0,201.0,27.0
1978.0,2010.0,77.0,80.0,82.65,2730.0,201.0,15.0
1978.0,2010.0,79.0,83.0,78.36,2078.0,201.0,15.0
1978.0,2012.0,83.0,91.0,84.07,1380.0,201.0,13.0
1978.0,2006.0,82.0,91.0,86.49,1913.0,248.0,19.0
1978.0,2006.0,69.0,66.0,92.88,1450.0,232.0,19.0
1976.0,1999.0,68.0,77.0,121.29,1285.0,233.0,26.0
1976.0,1999.0,63.0,67.0,113.95,1420.0,233.0,26.0
1976.0,1999.0,65.0,61.0,86.85,1305.0,233.0,26.0
1976.0,1999.0,62.0,59.0,96.93,1005.0,233.0,26.0
1976.0,1999.0,65.0,61.0,92.18,820.0,233.0,26.0
1976.0,1999.0,61.0,59.0,111.97,820.0,233.0,26.0
1976.0,2011.0,63.0,64.0,114.2,820.0,233.0,14.0
1940.0,2011.0,71.0,71.0,88.18,976.0,207.0,14.0
1939.0,2011.0,70.0,66.0,77.54,1383.0,193.0,14.0
1939.0,2011.0,71.0,70.0,78.09,1780.0,192.0,14.0
1942.0,1986.0,60.0,53.0,79.35,1986.0,272.0,39.0
1939.0,1986.0,65.0,48.0,60.64,1153.0,272.0,39.0
1939.0,2011.0,77.0,71.0,72.32,937.0,270.0,14.0
1946.0,2011.0,78.0,77.0,77.67,1165.0,273.0,14.0
1942.0,2011.0,75.0,70.0,81.38,1675.0,312.0,14.0
1941.0,2019.0,90.0,93.0,45.5,2061.0,347.0,6.0
1938.0,2018.0,84.0,78.0,55.82,2200.0,204.0,7.0
1963.0,2017.0,94.0,93.0,41.98,863.0,186.0,8.0
1930.0,2017.0,93.0,92.0,41.61,925.0,144.0,8.0
1972.0,2017.0,94.0,94.0,40.11,1476.0,252.0,8.0
1971.0,2017.0,82.0,84.0,81.65,2650.0,333.0,8.0
1970.0,0.0,26.0,64.0,281.01,3218.0,365.0,55.0
1963.0,2020.0,94.0,100.0,41.72,3050.0,428.0,5.0
1929.0,2020.0,95.0,100.0,36.15,2590.0,427.0,5.0
1963.0,2020.0,93.0,99.0,48.35,2200.0,426.0,5.0
1929.0,2020.0,95.0,99.0,42.41,2046.0,385.0,5.0
1972.0,2014.0,88.0,90.0,48.48,2818.0,330.0,11.0
1948.0,2023.0,94.0,100.0,64.42,3130.0,781.0,2.0
1969.0,0.0,34.0,68.0,229.17,2560.0,780.0,56.0
1937.0,2014.0,79.0,72.0,38.91,2095.0,654.0,11.0
1939.0,2000.0,49.0,41.0,121.55,2493.0,529.0,25.0
1939.0,2000.0,66.0,75.0,132.29,5285.0,567.0,25.0
1956.0,0.0,59.0,69.0,131.39,5280.0,605.0,69.0
1956.0,2015.0,87.0,85.0,53.0,3640.0,573.0,10.0
1937.0,2015.0,86.0,86.0,49.3,2393.0,635.0,10.0
1984.0,2015.0,88.0,88.0,53.49,3495.0,909.0,10.0
1984.0,2015.0,88.0,87.0,52.96,3855.0,910.0,10.0
1932.0,2015.0,82.0,88.0,72.66,2923.0,684.0,10.0
1927.0,2015.0,88.0,93.0,49.27,2710.0,607.0,10.0
1987.0,2015.0,88.0,85.0,46.24,2900.0,607.0,10.0
1932.0,2015.0,82.0,87.0,65.94,3748.0,592.0,10.0
1932.0,2015.0,72.0,86.0,129.96,5127.0,534.0,10.0
1932.0,1997.0,62.0,74.0,142.29,5850.0,534.0,28.0
1927.0,1997.0,78.0,87.0,88.63,3733.0,510.0,28.0
1933.0,1988.0,48.0,46.0,133.7,1717.0,434.0,37.0
1930.0,1987.0,51.0,57.0,153.96,1720.0,351.0,38.0
1931.0,2008.0,48.0,39.0,134.48,1800.0,348.0,17.0
1931.0,2008.0,54.0,48.0,119.89,1800.0,348.0,17.0
1999.0,0.0,66.0,76.0,125.82,1800.0,348.0,26.0
1977.0,2010.0,72.0,73.0,101.73,1987.0,262.0,15.0
1977.0,2010.0,74.0,81.0,108.33,1540.0,262.0,15.0
1977.0,2010.0,76.0,84.0,105.7,1540.0,262.0,15.0
1977.0,2010.0,75.0,83.0,107.22,1540.0,262.0,15.0
1977.0,2010.0,73.0,80.0,110.7,1504.0,263.0,15.0
1968.0,1993.0,70.0,71.0,95.44,1400.0,263.0,32.0
1970.0,1993.0,76.0,81.0,101.36,1290.0,262.0,32.0
1970.0,1991.0,58.0,59.0,144.7,1150.0,262.0,34.0
1970.0,1993.0,65.0,68.0,124.52,1125.0,210.0,32.0
1930.0,1992.0,66.0,75.0,100.51,1165.0,192.0,33.0
1930.0,2021.0,76.0,92.0,117.28,1339.0,190.0,4.0
1930.0,2021.0,77.0,90.0,113.0,1585.0,188.0,4.0
1978.0,0.0,27.0,62.0,242.73,2150.0,188.0,47.0
1979.0,0.0,87.0,96.0,71.66,3004.0,309.0,46.0
1979.0,0.0,78.0,89.0,95.58,6028.0,442.0,46.0
2000.0,0.0,61.0,96.0,181.11,7800.0,476.0,25.0
2019.0,0.0,0.0,0.0,0.0,4250.0,1929.0,6.0
2020.0,0.0,86.0,100.0,79.94,4175.0,1929.0,5.0
1987.0,2014.0,68.0,76.0,121.88,2610.0,1104.0,11.0
1963.0,0.0,39.0,56.0,178.56,1190.0,471.0,62.0
1954.0,2004.0,67.0,87.0,137.43,2237.0,275.0,21.0
1945.0,2013.0,59.0,67.0,116.93,1930.0,192.0,12.0
1967.0,2013.0,65.0,75.0,106.61,1532.0,258.0,12.0
